"product_name"	"product_cat"	"product_code"	"pre_price"	"price"	"color"	"short_decription"	"long_decription"	"vendor_name"	"image_link"	
"Iphone 5"	"Điện thoại>Iphone>AU>Iphone 5"	"IP5AU_00001"	""	"20000"	""	"Thông số kỹ thuật : "	"Iphone 5 mới 100% , hàng đang giảm giá ."	"member1"	"http://www.muaban.jp/wp/img/IP6S_1.jpg|http://www.muaban.jp/wp/img/IP6S_2.jpg|http://www.muaban.jp/wp/img/IP6S_3.jpg"	
"Iphone 5S"	"Điện thoại>Iphone>AU>Iphone 5S"	"IP5SAU_00002"	""	"25000"	""	"Thông số kỹ thuật : "	"Iphone 5S mới 100% , hàng đang giảm giá ."	"member1"	"http://www.muaban.jp/wp/img/IP6S_1.jpg|http://www.muaban.jp/wp/img/IP6S_2.jpg|http://www.muaban.jp/wp/img/IP6S_3.jpg"	
"Iphone 6"	"Điện thoại>Iphone>AU>Iphone 6"	"IP6AU_00003"	""	"30000"	""	"Thông số kỹ thuật : "	"Iphone 6 mới 100% , hàng đang giảm giá ."	"member1"	"http://www.muaban.jp/wp/img/IP6S_1.jpg|http://www.muaban.jp/wp/img/IP6S_2.jpg|http://www.muaban.jp/wp/img/IP6S_3.jpg"	
"Iphone 6 PLUS"	"Điện thoại>Iphone>AU>Iphone 6 PLUS"	"IP6PLAU_00004"	""	"35000"	""	"Thông số kỹ thuật : "	"Iphone 6 PLUS mới 100% , hàng đang giảm giá ."	"member1"	"http://www.muaban.jp/wp/img/IP6S_1.jpg|http://www.muaban.jp/wp/img/IP6S_2.jpg|http://www.muaban.jp/wp/img/IP6S_3.jpg"	
"Iphone 6S"	"Điện thoại>Iphone>AU>Iphone 6S"	"IP6SAU_00005"	""	"40000"	""	"Thông số kỹ thuật : "	"Iphone 6S mới 100% , hàng đang giảm giá ."	"member1"	"http://www.muaban.jp/wp/img/IP6S_1.jpg|http://www.muaban.jp/wp/img/IP6S_2.jpg|http://www.muaban.jp/wp/img/IP6S_3.jpg"	
"Iphone 6S PLUS"	"Điện thoại>Iphone>AU>Iphone 6S PLUS"	"IP6SPLAU_00006"	""	"45000"	""	"Thông số kỹ thuật : "	"Iphone 6S PLUS mới 100% , hàng đang giảm giá ."	"member1"	"http://www.muaban.jp/wp/img/IP6S_1.jpg|http://www.muaban.jp/wp/img/IP6S_2.jpg|http://www.muaban.jp/wp/img/IP6S_3.jpg"	
"Iphone SE"	"Điện thoại>Iphone>AU>Iphone SE"	"IPSEAU_00007"	""	"50000"	""	"Thông số kỹ thuật : "	"Iphone SE mới 100% , hàng đang giảm giá ."	"member1"	"http://www.muaban.jp/wp/img/IPSE_1.jpg|http://www.muaban.jp/wp/img/IPSE_2.jpg|http://www.muaban.jp/wp/img/IPSE_3.jpg|http://www.muaban.jp/wp/img/IPSE_4.jpg"	
"Ipad 2"	"Máy tính bảng>Ipad>Ipad 2"	"IPAD2_00008"	""	"15000"	""	"Thông số kỹ thuật : "	"Ipad 2 mới 100% , hàng đang giảm giá ."	"member1"	"http://www.muaban.jp/wp/img/Ipad_1.jpg|http://www.muaban.jp/wp/img/Ipad_2.jpg|http://www.muaban.jp/wp/img/Ipad_3.jpg"	
"Ipad 3"	"Máy tính bảng>Ipad>Ipad 3"	"IPAD3_00009"	""	"20000"	""	"Thông số kỹ thuật : "	"Ipad 3 mới 100% , hàng đang giảm giá ."	"member1"	"http://www.muaban.jp/wp/img/Ipad_1.jpg|http://www.muaban.jp/wp/img/Ipad_2.jpg|http://www.muaban.jp/wp/img/Ipad_3.jpg"	
"Ipad 4"	"Máy tính bảng>Ipad>Ipad 4"	"IPAD4_00010"	""	"25000"	""	"Thông số kỹ thuật : "	"Ipad 4 mới 100% , hàng đang giảm giá ."	"member1"	"http://www.muaban.jp/wp/img/Ipad_1.jpg|http://www.muaban.jp/wp/img/Ipad_2.jpg|http://www.muaban.jp/wp/img/Ipad_3.jpg"	
